year,issue,issue_link,article_link,title,authors,affiliation,annotation,tags
2023,6,/magno/csr/2023/mn6.php,/artkey/csr-202306-0005_vibrant-civil-society-in-slovakia-ngos-supported-by-the-cee-trust-are-still-largely-dependent-on-external-fina.php,Vibrant Civil Society in Slovakia? NGOs Supported by the CEE Trust Are Still Largely Dependent on External Financing After 20 Years,Dalibor Jurášek ORCID...,"Faculty of Education, Trnava University in Trnava","Large-scale funding of non-governmental organisations (NGOs) by states and corporations (external funding) can impact their functioning and diminish their civic character. It is therefore of importance to understand whether and how NGOs can become financially independent of external funding. In Central and Eastern Europe (CEE), many NGOs were kickstarted by large sums from foreign state and corporate sponsors with the hopes of creating an independent civil society reliant on domestic sources: a ‘vibrant civil society’. However, did these NGOs become financially independent? This article examines a sample of 14 NGOs in Slovakia financed by the Trust for Civil Society in Central and Eastern Europe (CEE Trust), an organisation started by six private American foundations. Their funding is compared year by year, and it is found that between 2000 and 2020, foreign funding decreased from 97.2% to 55.2%, and corporate funding dropped from 92.1% to 31.2%. However, public sector funding increased from 1.2% to 35.6%. Civic funding remained low over the entire period, rising from 0.1% to 8.6%. Thus, external corporate funding was largely replaced by another type of external funding (public funding), and the role of one major foreign donor (the Trust) was largely replaced by another major foreign donor (European Union (EU) and European Economic Area (EEA) funds). The results suggest that it is difficult for NGOs kickstarted by external funding to achieve financial independence, at least on a timescale of 20 years.","Klíčová slova: civil society, non-governmental organisation funding, financial independence, civic funding, income diversification"
2023,6,/magno/csr/2023/mn6.php,/artkey/csr-202306-0004_between-politicisation-and-depoliticisation-restitution-of-church-property-in-czech-republic.php,Between Politicisation and Depoliticisation: Restitution of Church Property in Czech Republic,"Veronika Frantová ORCID..., Petr Haas","Institute of Sociological Studies, Faculty of Social Sciences, Charles University, Prague","Elaborating on the process of the restitution of church property in the Czech Republic after the fall of the communist regime, this paper stresses the discursive dimension of this process. To obtain information on the main arguments for and against restitution, we selected two mainstream daily newspapers, the centre-right Lidové noviny and centre-left Právo, and the ‘official’ church media of the two largest churches seeking restitution in the Czech Republic: Katolický týdeník, the official paper of the Roman Catholic Church, and the monthly Evangelical Church of Czech Brethren magazine, Český bratr. All selected sources covered the 1990–2019 period. Our analysis of the media debate helps to determine why restitution in the Czech Republic – an interesting case given that it is perceived as the most atheistic country of the Visegrad Four – took its unique direction. It took more than twenty years for the churches to receive their relatively generous compensation and, at the same time, become separated from the state. Linking the theoretical concept of discursive depoliticisation with an argumentative analysis allows us to show that emphasis of the spiritual contribution of churches to society did not play a key supporting role in legitimising the restitution. The enactment of restitution was aided by two widely shared, morally oriented depoliticised sentiments: a neoliberal emphasis on private property and efficient management and an emphasis on the defence of constitutionality reinforced by anti-communist sentiments.","Klíčová slova: restitution of church property, argumentative discourse analysis, post-communism, Czech Republic"
2023,6,/magno/csr/2023/mn6.php,/artkey/csr-202306-0003_from-neoliberal-restriction-to-control-of-the-roma-8211-towards-post-neoliberal-ethnic-welfare.php,From Neoliberal Restriction to Control of the Roma–Towards Post-Neoliberal Ethnic Welfare,"Lucie Trlifajová ORCID...1,2, Filip Pospíšil2","1
Charles University, Faculty of Social Sciences, Prague;2
Centre for Social Issues – SPOT","The article examines how neoliberal reforms can pave the way for welfare racialisation, turning a delegitimised minimum-income scheme into a tool for racial-hierarchy enforcement. We follow the development of Czech minimum-income scheme legislation from 2014 to 2021, after a series of neoliberal (workfarist) reforms reinforced the restrictive and controlling aspects of the system. The analysed period is characterised by the greater involvement of politicians representing the poorest regions of the Czech Republic and by calls for further restrictions. Analysing parliamentary debates from this period, we show that the delegitimised social system is no longer understood as a tool of social protection or even labour market inclusion; rather, it has become a tool of ethnic hierarchisation, which particularly resonates in the context of perceived socioeconomic insecurity. We propose the term ‘post-neoliberal ethnic welfare’ to describe this emerging system, which derives its legitimacy from neoliberal categories of deservingness and reduces social-protection systems into a performative tool of control over the Roma population.","Klíčová slova: welfare, Roma, neoliberalism, race, socially excluded localities"
2023,6,/magno/csr/2023/mn6.php,/artkey/csr-202306-0006_amanda-c-cote-gaming-sexism-gender-and-identity-in-the-era-of-casual-video-games.php,Amanda C. Cote: Gaming Sexism. Gender and Identity in the Era of Casual Video Games,Světlana Nedvědová,"Faculty of Social Studies, Masaryk University, Brno",,
2023,6,/magno/csr/2023/mn6.php,/artkey/csr-202306-0007_louisa-allen-breathing-life-into-sexuality-education.php,Louisa Allen: Breathing Life into Sexuality Education,Barbora Benešovská,"Faculty of Social Sciences, Charles University, Prague",,
2023,6,/magno/csr/2023/mn6.php,/artkey/csr-202306-0008_elisabeth-anderson-agents-of-reform-child-labor-and-the-origins-of-the-welfare-state.php,Elisabeth Anderson: Agents of Reform. Child Labor and the Origins of the Welfare State,Sergiu Delcea,"New Europe College, Bucharest",,
2023,5,/magno/csr/2023/mn5.php,/artkey/csr-202305-0001_8216-people-are-dying-and-they-will-be-dying-8217-drought-stories-cultural-codes-and-environmental-disco.php,"„Tady prostě umírají lidi a budou umírat“: Příběhy sucha, kulturní kódy a environmentální diskursy",Karel Čada,"Fakulta podnikohospodářská, Vysoká škola ekonomická v Praze;Fakulta humanitních studií, Univerzita Karlova, Praha","This article focuses on narratives of drought in Czech media discourses. Proceeding from the perspective of cultural sociology, it describes drought as a complex cultural field and a collective representation that has given rise to new forms of civic responsibility and subjectivity and a rich tableau of new uncertainties and risks. Based on an analysis of 4632 articles published in the most widely read Czech newspapers (Lidové noviny, Hospodářské noviny, MF Dnes, Právo, Blesk) between 2014 and 2018, the article identifies the key media images of drought and relates them to broader environmental discourses and cultural risk patterns. The main thesis of the article is that the key tension in the current debate on global climate change is a dispute not between supporters and deniers of climate change, but between climate fatalism and administrative-expert rationality. The article shows that the environmental crisis is closely linked to and negotiated and discussed in connection with the crisis of administrative and expert institutions. A good illustration of the cultural aspects of the current drought debate in the Czech Republic is the link between the social and natural aspects of environmental problems and the different imaginations of both nature and society.","Klíčová slova: environmental sociology, climate change, expertise, discourse analysis, culture codes, media"
2023,5,/magno/csr/2023/mn5.php,/artkey/csr-202305-0002_perception-of-the-connection-between-the-covid-19-pandemic-and-climate-change-in-the-czech-blogosphere.php,Percepce souvislostí pandemie covid-19 a klimatické změny v české blogosféře,"Daniel Čermák, Jana Stachová, Matouš Pilnáček","Sociologický ústav AV ČR, v. v. i., Praha","The article is dedicated to reflecting the links between the climate crisis and the Covid-19 pandemic crisis in the context of Czech social media, specifically on several blogging platforms. The processes leading to the climate and pandemic crises are highly intertwined, based in the way humans interact with the environment on a global scale. However, the circumstances and consequences of both crises, as well as the ways they are dealt with, also share common features. The authors identify such contexts as reflected on blogging platforms by undertaking a qualitative analysis of texts from an interpretative phenomenological perspective. Climate scepticism is connected to pandemic scepticism, on the one hand, and to acceptance of the pandemic as a real threat, on the other hand. Conversely, acceptance of the climate crisis can be associated with both acceptance of the pandemic and pandemic scepticism.","Klíčová slova: climate change, Covid-19 pandemic, scepticism, neutralization techniques, blogs"
2023,5,/magno/csr/2023/mn5.php,/artkey/csr-202305-0003_8216-i-can-make-warnings-about-all-kinds-of-statistically-possible-climate-extremes-but-who-ll-warn-me-about.php,"„Dokážu varovat před všemi statisticky možnými klimatickými extrémy, ale kdo mě bude varovat před sebou samým?“:Prvky klimaskepticismu v expertní prezentaci klimatické změny v médiích",Renáta Mikešová,"Sociologický ústav AV ČR, v. v. i., Praha","The Czech Republic is among the countries in Europe with a relatively more sceptical view of climate change, especially when it comes to opinions about human responsibility for climate change and the need for individual measures to mitigate its impacts. This article focuses on a relatively less noticed aspect of climate-sceptic opinions in the presentation of this issue in the Czech media, namely doubts about the scientific knowledge on climate change expressed by scientists themselves. It is based on two basic observations. First, scientists and experts play a key role in the presentation of climate change. Second, highlighting the inconsistency of scientific reasoning and the uncertainty of science is one of the basic strategies of the climate-sceptic movement. The aim of this paper is to analyse the media coverage of two important Czech experts on climate change - Václav Cílek and Jan Pretel - and to determine whether they communicate the scientific uncertainty on this subject. The analysis shows a considerable number of doubts of various kinds in the articles of both of the two experts, which may have to do with the Czech public's circumspect attitude towards climate change and the slow change in their view of it.","Klíčová slova: climate change, media, popularisation, expert, climascepticism"
2023,5,/magno/csr/2023/mn5.php,/artkey/csr-202305-0004_petr-gibas-a-kol-bydleni-mladych-v-dobe-krize.php,Petr Gibas a kol.: Bydlení mladých v době krize,Hana Řičicová,"Fakulta sociálních věd, Univerzita Karlova",,
2023,5,/magno/csr/2023/mn5.php,/artkey/csr-202305-0005_martin-potucek-anatomie-komunismu-skutecny-pribeh-jedne-rodiny.php,Martin Potůček: Anatomie komunismu: Skutečný příběh jedné rodiny,Lucie Rektorová,"Fakulta sociálních věd, Univerzita Karlova",,
2023,5,/magno/csr/2023/mn5.php,/artkey/csr-202305-0006_michal-kaplanek-ed-volny-cas-deti-starsiho-skolniho-veku.php,Michal Kaplánek (ed.): Volný čas dětí staršího školního věku,Zuzana Velenská,"Fakulta humanitních studií, Univerzita Karlova",,
2023,4,/magno/csr/2023/mn4.php,/artkey/csr-202304-0001_the-scicomm-phenomenon-using-and-analysing-big-data-to-track-science-communication-on-czech-research-institut.php,Fenomén #scicomm: využití big data a jejich analýzy při sledování komunikace vědy na internetových stránkách českých výzkumných organizací,"Petra Raudenská ORCID...1, Renáta Topinková ORCID...1,2","1
Sociologický ústav AV ČR, v. v. i., Praha;2
Ludwig-Maximilians-Universität München","This study focused on science communication on the websites of Czech research institutions. Particularly, we inquired to what extent Czech science is shared with the public on the Internet and what differences can be found between the websites of social and natural science institutions. Textual analysis revealed that on the scientific websites, terms like ‘science’ and ‘popularization’ occurred together with references to scientific institutions, study, and research. In the case of natural sciences, the term ‘popularization’ was more often linked to receiving science awards for science popularization and promotion. Structural web analysis showed that most scientific webs contained hyperlinks to social media such as Facebook, Twitter, YouTube, Instagram, and LinkedIn. Similarly, they often referred to online news outlets such as ceskatelevize.cz, novinky.cz, lidovky.cz, and rozhlas.cz. On the other side, they much less often referred to institutional and government websites. The results suggested that Czech science communication can be characterized as more interactive than canonical.","Klíčová slova: science communication, public research institutions, big data analysis, text analysis, topic models, social network analysis"
2023,4,/magno/csr/2023/mn4.php,/artkey/csr-202304-0002_the-selection-of-the-chair-of-the-whistleblowers-protection-office-in-slovakia-as-the-creation-of-state-institu.php,Výběr předsedy/předsedkyně Úřadu na ochranu oznamovatelů protispolečenské činnosti jako tvorba státem institucionalizované eticko-politické agence,Petr Mezihorák ORCID...,"Sociologický ústav Slovenskej akadémie vied, v. v. i., Bratislava","This article analyses the public hearing of candidates for the position of Chair of the Whistleblowers Protection Office in Slovakia in order to examine the hitherto overlooked issue of ethical-political agency that seeks to create an institution for the common good. Ethical political agency is the type of agency that transcends both the conception of institutions as dominant, taken-for-granted structures whose rules individuals tacitly follow, whereby they are deprived of agency, and the understanding of agency as a strategic activity that uses institutions to promote the specific interests of individuals. An analysis of the interactions between the candidates and the committee members, based on publicly available audiovisual recordings, shows that the candidates differed in their perceptions of their agency and its limits, but it was the public and dialogical arrangement of the hearings that shaped the conditions for the emergence of the specific image of ethical-political agency. This study thus grasps the public hearing as a form of institutional work that disrupts the notion that the relationship between the individual and the structure is invariable. The study contributes to the theoretical debate on institutional work by highlighting the interactive dimension involved in the shaping of the conditions for the emergence of ethical-political agency.","Klíčová slova: bureaucracy, ethical-political agency, institutional work, interactionism, responsibility, whistleblowing"
2023,4,/magno/csr/2023/mn4.php,/artkey/csr-202304-0003_conceptualisations-of-legal-otherness-in-asylum-evidentiary-practices-from-formal-to-anthropological-interpret.php,Konceptualizace právní jinakosti v azylovém dokazování: Od formální k antropologické interpretaci neobvyklých právních autorit,Tomáš Ledvinka ORCID...,"Fakulta sociálních věd, Univerzita Karlova, Praha;Fakulta informatiky a managementu, Univerzita Hradec Králové","This article presents an analytical study of several asylum cases on which Czech courts issued rulings between 2007 and 2022. It focuses on exposing the ways in which asylum authorities/courts conceptually treat legal otherness on the basis of incomplete information in the practical context of asylum proceedings. It demonstrates how the judgments of Czech asylum courts deal with the legal differences of countries of origin in evidentiary interpretations of documents, such as transcripts of asylum interviews or country-of-origin information (COI), by reconstructing the conceptual frameworks in which the alterity of the origin countries’ state legal systems and customary law is embedded. It identifies particular evidentiary concepts that do not easily fit into the standard ontology of formal asylum law. In particular, Czech court rulings tend to conceptually frame unconventional legal authorities (like elders, traditional councils) as cultural entities, non-state actors, or private persons, which paradoxically disqualifies them from the ontological possibility of posing (or preventing) a threat to refugees by operating an (in)effective legal system. The article discusses the possibility of applying an alternative of legal-anthropological conceptualisation of unconventional legal authorities, focusing specifically on Afghanistan, Jordan, and Yemen.","Klíčová slova: asylum, evidence, refugee, legal anthropology, legal pluralism, non-state actors"
2023,4,/magno/csr/2023/mn4.php,/artkey/csr-202304-0006_daniel-gerbery-podoby-prace-sociologicky-pohlad.php,Daniel Gerbery: Podoby práce: Sociologický pohľad,Jan Meyer,"Fakulta sociálních studií, Masarykova univerzita, Brno",,
2023,4,/magno/csr/2023/mn4.php,/artkey/csr-202304-0005_paul-collier-budoucnost-kapitalismu-tvari-v-tvar-novym-uzkostem.php,Paul Collier: Budoucnost kapitalismu: Tváří v tvář novým úzkostem,Karolína Hájková,"Fakulta sociálních věd, Univerzita Karlova, Praha",,
2023,4,/magno/csr/2023/mn4.php,/artkey/csr-202304-0004_ivan-leudar-and-jiri-nekvapil-dialogical-networks.php,Ivan Leudar and Jiří Nekvapil: Dialogical Networks,Ondřej Klíma,"Fakulta sociálních studií, Masarykova univerzita, Brno",,
2023,4,/magno/csr/2023/mn4.php,/artkey/csr-202304-0007_8222-umela-inteligencia-socialne-a-eticke-problemy-8220-sprava-o-seminari-slovenskej-sociologickej-spoloc.php,„Umelá inteligencia: sociálne a etické problémy“. Správa o seminári Slovenskej sociologickej spoločnosti pri SAV,"Silvia Capíková1, Miroslav Tížik1,2","1
Univerzita Komenského v Bratislave;2
Sociologický ústav SAV, v. v. i.",,
2023,4,/magno/csr/2023/mn4.php,/artkey/csr-202304-0008_16-mezinarodni-konference-etnologu-a-folkloristu-v-brne-sief-8211-zit-v-nejistote-living-uncertainty.php,16. mezinárodní konference etnologů a folkloristů v Brně: SIEF – Žít v nejistotě (Living Uncertainty),Olga Nešporová,,,
2023,3,/magno/csr/2023/mn3.php,/artkey/csr-202303-0005_introduction-to-the-special-issue-moving-beyond-the-narrative-of-the-migration-8216-crisis-8217.php,Introduction to the Special Issue: Moving Beyond the Narrative of the Migration ‘Crisis’,"Bernadette Nadya Jaworsky ORCID..., Ivana Rapoš Božič ORCID...","Faculty of Social Studies, Masaryk University, Brno",,
2023,3,/magno/csr/2023/mn3.php,/artkey/csr-202303-0001_the-legitimacy-of-european-union-migration-and-asylum-policy-among-the-czech-public.php,The Legitimacy of European Union Migration and Asylum Policy among the Czech Public,"Jan Krotký ORCID..., Bernadette Nadya Jaworsky ORCID..., Petr Kaniok ORCID...","Faculty of Social Studies, Masaryk University, Brno","In this study, we contribute to scholarly work on European Union (EU) legitimacy with regard to migration and asylum policy. We do so through an in-depth exploration of the relationship between attitudes towards the EU and migration among the Czech public. Even though there is a body of literature focusing on this topic, there is a gap when it comes to understanding its complexities, especially concerning 'pro-immigrant' and 'pro-European' positions. We bring a cultural-sociological perspective on meaning-making processes into conversation with theories on the legitimacy of the EU, an analytical move that helps us reveal the nuances in attitudes towards the EU and migration. Our results unpack the narratives surrounding the EU and migration and highlight the apparent cleavage between the 'pro-immigrant' and 'anti-immigrant' discourses that underpin migration attitudes among the Czech public. We find that notwithstanding some divisiveness, there exists considerable convergence along the three dimensions of legitimacy: input, output and throughput. Indeed, both camps challenge EU legitimacy, but they do so for different reasons and focus on different dimensions. The output aspect of EU legitimacy is the most problematic and criticised within both types of discourse. The input dimension is problematic only within the 'anti-immigrant' discourse, and the throughput dimension of EU legitimacy is rather neglected within both discourses. In empirical terms, these findings imply that, in the eyes of the Czech public, the EU-even for those who accept it as a legitimate actor with regard to asylum and migration policy-fails to deliver satisfactory results.","Klíčová slova: EU attitudes, migration attitudes, legitimacy, cultural sociology, narratives"
2023,3,/magno/csr/2023/mn3.php,/artkey/csr-202303-0002_8216-not-knowing-when-it-s-going-to-happen-and-what-s-going-to-happen-8217-the-time-politics-of-applying-f.php,‘Not Knowing When It's Going to Happen and What's Going to Happen’: The Time Politics of Applying for a Residence Permit in the Czech Republic,Veronika Kotýnková Krotká ORCID...,"Faculty of Science, Masaryk University, Brno","This study focuses on the time politics involved in applying for a residence permit in the Czech Republic, with a focus on non-European Union (EU) applicants. It examines how governmentality and state superiority are represented and performed within the bureaucratic procedure of the application process. Based on the results, I argue that the application process bureaucracy is tied to time politics - practices that govern others through time. The paper is based on research realised in Brno, the second-largest city in the Czech Republic, and uses qualitative, ethnographic observations and semi-structured interviews with immigrants from non-EU countries who applied for a long-term residence permit. The paper examines time politics within this process, highlighting its unpredictability, disrupted temporal linearity and chrononormativity. In this context, the respondents describe the waiting period as a moment of being in between - temporally, spatially and socially. Therefore, I argue that the time politics experienced throughout the application process significantly influences the lives of applicants. The interviews revealed that the applicants were caught in a liminal position with an uncertain ending, exemplified by the impossibility of moving (temporally, spatially and socially) - a feeling often described as stuckedness. Consequently, this time politics and the temporal inequality and disadvantages experienced during the process contribute to exclusion from mainstream Czech society and produce structural invisibility.","Klíčová slova: time politics, waiting, chrononormativity, bureaucracy, migration"
2023,3,/magno/csr/2023/mn3.php,/artkey/csr-202303-0003_searching-for-the-8216-muslims-8217-in-czech-islamophobia-and-the-effects-of-intergroup-contact-in-challeng.php,Searching for the ‘Muslims’ in Czech Islamophobia and the Effects of Intergroup Contact in Challenging the ‘Fear of the Unknown’,Carlos Gómez del Tronco,University College London School of Slavonic and East European Studies,"Since at least 2014, cross-national surveys have measured the most negative attitudes towards 'Muslims' in the EU among Czech respondents. These attitudes have often been attributed to few contact opportunities with actual Muslims in the country and, thus, public overreliance on the highly negative representations of 'Muslims' in public discourse. However, empirical qualitative assessments of the stereotypes which guide many Czechs' anti-Muslim prejudice and the effects of intergroup contact have been neglected. In an epistemological shortcoming, the survey category 'Muslim' has often been treated as one of analysis rather than of practice. Contrarily, I argue that Czech participants' contingent understandings and racialisation of the category need to be reclaimed as the ontological basis of prejudice. In this study, I relied on the results of a larger constructionist thematic analysis of 31 semi-structured interviews with non-Muslim Czechs and, regardless of citizenship or ethnicity, Muslims living in Czechia conducted in 2020 and 2021. The results show that, in line with public discourse dynamics, 'Muslims' in Czechia are commonly understood as immigrants racialised through their perceived Arabness, Middle Easternness and non-Whiteness. Furthermore, perceptions of Western European 'Muslims' as highly conflictual are juxtaposed with the fragility of Czechia in the face of immigration. Against this backdrop, I examine the mechanisms through which intergroup contact enriches participants' social cognitions of 'Muslims' - namely, subgrouping, positive stereotyping, reduced perceived intergroup threat and anxiety, and (re-)humanisation.","Klíčová slova: Islamophobia, social cognition, intergroup contact, stereotypes, public opinion"
